"cust_id","name","prod_line"
"9","AEI","11"
"9","AEI","32"
"9","AEI","212"
"30","Beck","32"
"30","Beck","182"
"30","Beck","230"
"36","Bosch","190"
"36","Bosch","191"
"36","Bosch","192"
"36","Bosch","193"
"36","Bosch","194"
"36","Bosch","195"
"36","Bosch","196"
"36","Bosch","197"
"36","Bosch","198"
"36","Bosch","199"
"50","Central","57"
"50","Central","156"
"80","EPI","60"
"80","EPI","129"
"80","EPI","142"
"80","EPI","181"
"85","Filko/Std/GPS","65"
"85","Filko/Std/GPS","211"
"90","FAP","16"
"90","FAP","36"
"90","FAP","62"
"90","FAP","91"
"90","FAP","107"
"90","FAP","111"
"90","FAP","183"
"110","IDCP","91"
"110","IDCP","107"
"110","IDCP","170"
"141","MAWDI","13"
"141","MAWDI","15"
"141","MAWDI","31"
"141","MAWDI","33"
"141","MAWDI","47"
"141","MAWDI","48"
"141","MAWDI","55"
"141","MAWDI","56"
"141","MAWDI","64"
"141","MAWDI","68"
"141","MAWDI","105"
"141","MAWDI","139"
"141","MAWDI","140"
"141","MAWDI","162"
"141","MAWDI","164"
"141","MAWDI","166"
"141","MAWDI","169"
